"engineering_candidate_id","candidate_name","candidate_type","organization_name","company_name","github_org_url","repository_url","repository_name","repository_purpose","official_status","relationship_status","primary_language","typescript_signal","frontend_relevance","design_system_signal","testing_signal","ci_cd_signal","accessibility_signal","documentation_signal","license","archived","last_activity","stars","forks","evidence_quality","primary_source_url","source_checked_at","selection_notes","research_status"
"EC-0016","IBM Carbon Design System","DESIGN_SYSTEM","IBM","IBM (DC-0040)","https://github.com/carbon-design-system","https://github.com/carbon-design-system/carbon","carbon","Monorepo do design system Carbon: React, Web Components, Sass, tokens, icones, pictogramas","VERIFIED","VERIFIED","UNVERIFIED","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/carbon-design-system/carbon","2026-08-11","Suporte de primeira classe para React, Angular, Vue, Svelte e Web Components; open-sourced pela IBM em 2017.","candidate"
"EC-0017","Carbon for IBM.com","DIGITAL_PRODUCT","IBM","IBM (DC-0040)","https://github.com/carbon-design-system","https://github.com/carbon-design-system/carbon-for-ibm-dotcom","carbon-for-ibm-dotcom","Implementacao do Carbon Design System especificamente para o site ibm.com","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/carbon-design-system/carbon-for-ibm-dotcom","2026-08-11","Caso raro de vinculo direto e verificavel entre repositorio publico e a producao do site corporativo real (ibm.com) - alto valor para Track C (Cross-Layer) futuro.","candidate"
"EC-0018","Microsoft Fluent UI (web)","DESIGN_SYSTEM","Microsoft","Microsoft (DC-0041)","https://github.com/microsoft","https://github.com/microsoft/fluentui","fluentui","Colecao de utilitarios, componentes React e Web Components para construcao de aplicacoes web","VERIFIED","VERIFIED","UNVERIFIED","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/microsoft/fluentui","2026-08-11","Evolucao do antigo Office UI Fabric React; design system cross-platform da Microsoft.","candidate"
"EC-0019","Microsoft Fluent UI React Native","DESIGN_SYSTEM","Microsoft","Microsoft (DC-0041)","https://github.com/microsoft","https://github.com/microsoft/fluentui-react-native","fluentui-react-native","Implementacao React Native do Fluent Design System","VERIFIED","VERIFIED","UNVERIFIED","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/microsoft/fluentui-react-native","2026-08-11","Par mobile do repositorio fluentui (EC-0018).","candidate"
"EC-0020","Microsoft TypeScript","FRAMEWORK_OR_PLATFORM","Microsoft","Microsoft (DC-0041)","https://github.com/microsoft","https://github.com/microsoft/typescript","TypeScript","Compilador/linguagem TypeScript, superset de JavaScript","VERIFIED","VERIFIED","TypeScript","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/microsoft/typescript","2026-08-11","Repositorio da propria linguagem TypeScript - ancora conceitual do universo de engenharia para RQ-B-01, nao um 'candidato a medir prevalencia', mas referencia de ecossistema.","candidate"
"EC-0021","React (Meta)","FRAMEWORK_OR_PLATFORM","Meta (Facebook)","","https://github.com/facebook","https://github.com/facebook/react/tree/v19.2.3","react","Biblioteca JavaScript para construcao de interfaces de usuario","VERIFIED","NOT_APPLICABLE","JavaScript","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/facebook/react/tree/v19.2.3","2026-08-11","Meta nao e candidato da Parte A neste ciclo (relationship_status NOT_APPLICABLE); incluido como ECOSYSTEM_REFERENCE fundamental para frontend moderno.","candidate"
"EC-0022","Vue.js (core)","FRAMEWORK_OR_PLATFORM","Vue.js (Evan You / independente)","","https://github.com/vuejs","https://github.com/vuejs/core","core","Framework JavaScript progressivo para construcao de UI web (Vue 3)","VERIFIED","NOT_APPLICABLE","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/vuejs/core","2026-08-11","Nao vinculado a nenhuma empresa da Parte A (projeto liderado por desenvolvedor independente, Evan You) - ECOSYSTEM_REFERENCE puro.","candidate"
"EC-0023","Vue.js (org)","ECOSYSTEM_REFERENCE","Vue.js","","https://github.com/vuejs","https://github.com/vuejs","vuejs (org-level)","Organizacao oficial que controla o dominio verificado vuejs.org","VERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","LOW","https://github.com/vuejs","2026-08-11","Registro da org em si, distinto do repositorio core (EC-0022).","candidate"
"EC-0024","Adobe React Spectrum","DESIGN_SYSTEM","Adobe","Adobe (DC-0042)","https://github.com/adobe","https://github.com/adobe/react-spectrum","react-spectrum","Componentes de UI Spectrum em React; bibliotecas para experiencias adaptativas, acessiveis e robustas","VERIFIED","VERIFIED","UNVERIFIED","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/adobe/react-spectrum","2026-08-11","Descrito explicitamente como focado em acessibilidade ('adaptive, accessible, and robust user experiences').","candidate"
"EC-0025","Adobe Spectrum Tokens","DESIGN_SYSTEM","Adobe","Adobe (DC-0042)","https://github.com/adobe","https://github.com/adobe/spectrum-tokens","spectrum-tokens","Design tokens do Spectrum (repositorio redirecionado para spectrum-design-data)","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","MEDIUM","https://github.com/adobe/spectrum-tokens","2026-08-11","Repositorio sinalizado como renomeado/redirecionado para 'spectrum-design-data' - reportado como observado, nao corrigido especulativamente.","candidate"
"EC-0026","GitHub Primer (CSS)","DESIGN_SYSTEM","GitHub (Microsoft)","","https://github.com/primer","https://github.com/primer/css","css","Implementacao CSS do design system Primer do GitHub","VERIFIED","UNVERIFIED","CSS","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/primer/css","2026-08-11","GitHub e subsidiaria da Microsoft (DC-0041), mas Primer e sistema de marca proprio do GitHub - relationship_status UNVERIFIED por nao termos confirmado formalmente o vinculo corporativo nesta sessao.","candidate"
"EC-0027","GitHub Primer (Design docs)","DESIGN_SYSTEM","GitHub (Microsoft)","","https://github.com/primer","https://github.com/primer/design","design","Documentacao de componentes, padroes de UI, fundamentos e guias do Primer","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/primer/design","2026-08-11","Par documental do primer/css (EC-0026); ha tambem primer/react mencionado na busca mas nao incluido por falta de link direto confirmado.","candidate"
"EC-0028","Ant Design","DESIGN_SYSTEM","Ant Group / Alibaba","","https://github.com/ant-design","https://github.com/ant-design/ant-design","ant-design","Linguagem de design de nivel empresarial e biblioteca de UI React","VERIFIED","NOT_APPLICABLE","TypeScript","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","90000","","HIGH","https://github.com/ant-design/ant-design","2026-08-11","Explicitamente descrito como escrito em TypeScript 'com tipos estaticos previsiveis'; >90.000 stars reportadas (tratado como metadata secundaria, nao criterio de qualidade).","candidate"
"EC-0029","shadcn/ui","DESIGN_SYSTEM","shadcn/ui (comunidade/independente)","","https://github.com/shadcn-ui","https://github.com/shadcn-ui/ui","ui","Componentes acessiveis e bem desenhados com plataforma de distribuicao de codigo; baseado em Radix UI + Tailwind CSS","VERIFIED","NOT_APPLICABLE","TypeScript","TRUE","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/shadcn-ui/ui","2026-08-11","Modelo de distribuicao incomum (copia codigo-fonte para o repo do consumidor em vez de instalar como dependencia) - relevante nota metodologica para RQ-B-01.","candidate"
"EC-0030","Radix UI","DESIGN_SYSTEM","Radix UI (comunidade/independente)","","https://github.com/radix-ui","https://github.com/radix-ui","radix-ui (org, inferida)","Primitivos de UI acessiveis e nao estilizados (menus, dialogs, tooltips) com ARIA e navegacao por teclado","UNVERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","","","LOW","https://shaxadd.medium.com/these-radix-based-ui-libraries-are-crazy-awesome-3ab656a21a22","2026-08-11","URL da org (github.com/radix-ui) foi inferida a partir do padrao de nomenclatura, nao confirmada por um link efetivamente clicado nesta sessao - official_status marcado UNVERIFIED deliberadamente.","candidate"
"EC-0031","Storybook","FRAMEWORK_OR_PLATFORM","Storybook (comunidade/Chromatic)","","https://github.com/storybookjs","https://github.com/storybookjs/storybook","storybook","Workshop padrao da industria para construir, documentar e testar componentes de UI isoladamente","VERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","TRUE","UNKNOWN","FALSE","UNKNOWN","","","HIGH","https://github.com/storybookjs/storybook","2026-08-11","Suporta 12+ frameworks (React, Vue, Angular, Svelte, React Native); integra Jest, Testing Library e Playwright.","candidate"
"EC-0032","Storybook Testing Library integration","ECOSYSTEM_REFERENCE","Storybook (comunidade/Chromatic)","","https://github.com/storybookjs","https://github.com/storybookjs/testing-library","testing-library","Versao instrumentada do Testing Library para o addon de Interactions do Storybook","VERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/storybookjs/testing-library","2026-08-11","Relevante diretamente para RQ-B-02 (estrategias de teste).","candidate"
"EC-0033","Storybook Test Runner","ECOSYSTEM_REFERENCE","Storybook (comunidade/Chromatic)","","https://github.com/storybookjs","https://github.com/storybookjs/test-runner","test-runner","Transforma stories do Storybook em testes executaveis","VERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/storybookjs/test-runner","2026-08-11","Par do testing-library (EC-0032); ambos relevantes para RQ-B-02.","candidate"
"EC-0034","SAP Fiori iOS SDK","DESIGN_SYSTEM","SAP","SAP (DC-0043)","https://github.com/SAP","https://github.com/SAP/cloud-sdk-ios-fiori","cloud-sdk-ios-fiori","Implementacao SwiftUI da linguagem de design SAP Fiori para iOS","VERIFIED","VERIFIED","Swift","FALSE","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/SAP/cloud-sdk-ios-fiori","2026-08-11","Repositorio mobile (Swift), nao relevante para TypeScript (RQ-B-01), mas relevante para diversidade de plataforma no universo de engenharia.","candidate"
"EC-0035","SAP (org)","COMPANY_OFFICIAL","SAP","SAP (DC-0043)","https://github.com/SAP","https://github.com/SAP","SAP (org-level)","Organizacao oficial SAP no GitHub; inclui referencias ao OpenUI5 (Apache 2.0) e diversos samples","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/SAP","2026-08-11","OpenUI5 (framework por tras da maioria dos apps Fiori) confirmado como open source sob Apache 2.0 em fonte secundaria, nao diretamente clicado nesta sessao.","candidate"
"EC-0036","Mercado Libre (org)","COMPANY_OFFICIAL","Mercado Libre","Mercado Livre / Mercado Pago (DC-0024)","https://github.com/mercadolibre","https://github.com/mercadolibre","mercadolibre (org-level)","Organizacao oficial com 101 repositorios reportados","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/mercadolibre","2026-08-11","Vinculo especifico com o design system Andes (citado via Figma, nao GitHub) nao confirmado nesta sessao - apenas a existencia da org.","candidate"
"EC-0037","Platzi (org)","COMPANY_OFFICIAL","Platzi","Platzi (DC-0006)","https://github.com/platzi","https://github.com/platzi","platzi (org-level, 'Comunidad Platzi')","554 repositorios reportados, incluindo material de cursos e codigo de estudantes","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/platzi","2026-08-11","Natureza mista (produto oficial + conteudo educacional/comunitario) - filtrar repositorios triviais de curso no Pilot Measurement, nao contar automaticamente todos os 554.","candidate"
"EC-0038","Atlassian Atlaskit","DESIGN_SYSTEM","Atlassian","Atlassian (DC-0012)","","https://bitbucket.org/atlassian/atlaskit","atlaskit","Implementacao tecnica das diretrizes de design da Atlassian (Atlassian Design Guidelines)","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","TRUE","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://bitbucket.org/atlassian/atlaskit","2026-08-11","IMPORTANTE: repositorio principal hospedado no Bitbucket, nao GitHub - github_org_url deixado vazio deliberadamente; caso relevante para limitacao metodologica de RQ-B-01 (nem toda engenharia publica relevante esta no GitHub).","candidate"
"EC-0039","Netflix (org)","COMPANY_OFFICIAL","Netflix","","https://github.com/Netflix","https://github.com/Netflix","Netflix (org-level)","234 repositorios reportados; forte cultura de open source correlacionada a organizacao de infraestrutura interna","VERIFIED","NOT_APPLICABLE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/Netflix","2026-08-11","Netflix nao esta no universo Digital da Parte A neste ciclo - incluido de forma independente, conforme permitido pela metodologia (Parte B nao precisa se limitar a Parte A).","candidate"
"EC-0040","Coursera (org)","COMPANY_OFFICIAL","Coursera","Coursera (DC-0001)","https://github.com/coursera","https://github.com/coursera","coursera (org-level)","81 repositorios reportados; projetos construidos sobre Play, Android, Nginx, React entre outros","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/coursera","2026-08-11","Showcase adicional em coursera.github.io confirmado.","candidate"
"EC-0041","Spotify (org)","COMPANY_OFFICIAL","Spotify","Spotify (DC-0035)","https://github.com/spotify","https://github.com/spotify","spotify (org-level)","Organizacao oficial; showcase de projetos selecionados em spotify.github.io","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/spotify","2026-08-11","Repositorio publico especifico do design system Encore nao confirmado nesta sessao - apenas a org geral.","candidate"
"EC-0042","Open edX","DIGITAL_PRODUCT","Open edX (originado de edX/2U)","2U / edX (DC-0056)","https://github.com/openedx","https://github.com/openedx/edx-organizations","edx-organizations","Plataforma de curso aberto originada do edX, hoje mantida como projeto Open edX","VERIFIED","VERIFIED","UNVERIFIED","UNVERIFIED","TRUE","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","FALSE","UNKNOWN","","","MEDIUM","https://github.com/openedx/edx-organizations","2026-08-11","Vinculo com 2U/edX (DC-0056) e historico/estrutural (edX virou base do Open edX apos aquisicao pela 2U) - relationship_status VERIFIED por essa continuidade documentada, nao por controle corporativo direto atual.","candidate"
